Organisation,Organisation Label,UPRN,AssetCode,Site Address,GeoX,GeoY,TenureType,Tenure Detail,Holding Type
Cheltenham Borough Council,23UB,010000480247,10/00022/LAND,Street Record Pittville Crescent Cheltenham Gloucestershire,395522,223084,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010000480320,09/04861/LAND,Street Record Rose And Crown Passage Cheltenham Gloucestershire,394989,222738,Freehold,Occupied by local authority,Miscellaneous Operational
Cheltenham Borough Council,23UB,010000480624,09/05393/LAND,Street Record Wellington Square Cheltenham Gloucestershire,395164,223066,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010000481734,09/00423/LAND,Pittville Park Evesham Road Cheltenham Gloucestershire,395464,223627,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010000481734,09/00417/SITE,Pittville Park Evesham Road Cheltenham Gloucestershire,395464,223627,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010000481734,12/00005/STRUC,Pittville Park Evesham Road Cheltenham Gloucestershire,395464,223627,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010000481734,16/00042/STRUC,Pittville Park Evesham Road Cheltenham Gloucestershire,395464,223627,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010000481734,10/00169/STRUC,Pittville Park Evesham Road Cheltenham Gloucestershire,395464,223627,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010000481734,10/00170/LAND,Pittville Park Evesham Road Cheltenham Gloucestershire,395464,223627,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010000481773,09/00865/SITE,Church Piece Shopping Precinct Church Piece Charlton Kings Cheltenham Gloucestershire GL53 8JN,396576,220374,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010000482134,09/02649/BLDG,3 - 4 Lynworth Exchange Mendip Road Cheltenham Gloucestershire GL52 5EH,396407,223302,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,010000482173,09/00051/LAND,Cheltenham Spa Bowling Club St Georges Square Cheltenham Gloucestershire,394660,222671,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010000482376,09/00930/BLDG,Ron Smith Pavilion Springbank Way Cheltenham Gloucestershire,392129,223921,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010000482417,09/00928/LAND,Playing Field Springbank Way Cheltenham Gloucestershire,392188,223863,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010000482673,09/00479/BLDG,Mary Godwin Pavillions Wymans Lane Cheltenham Gloucestershire,393792,224699,Freehold,Leasehold,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010000482985,09/05378/LAND,Pittville Park Marle Hill Road Cheltenham Gloucestershire,394991,223368,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010000482985,09/05382/LAND,Agg Gardner Recreational Ground Marle Hill Road Cheltenham Gloucestershire,394991,223368,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012805653,23/00016/LAND,Land Between Greenwode Leghe & Southgrove Cold Pool Lane Cheltenham Gloucestershire,391434,220724,Freehold,Occupied by local authority,Miscellaneous Operational
Cheltenham Borough Council,23UB,010012805667,09/00966/LAND,Jenner Gardens High Street Cheltenham Gloucestershire,394700,222648,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012806653,09/00979/LAND,Open Space At Rear Of Apple Orchard Prestbury Cheltenham Gloucestershire GL52 3EH,396165,224277,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012806884,09/00010/STRUC,Statue Of William IV Montpellier Gardens Montpellier Terrace Cheltenham Gloucestershire,394636,221777,Freehold,Occupied by local authority,Civic Regalia
Cheltenham Borough Council,23UB,010012807486,09/01095/LAND,Arle Farm Old Gloucester Road Cheltenham Gloucestershire,391766,224277,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012807486,09/01096/LAND,Arle Farm Old Gloucester Road Cheltenham Gloucestershire,391766,224277,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012807586,09/00771/LAND,Brizen Recreation Field Up Hatherley Way Cheltenham Gloucestershire,392991,219796,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012808052,09/00749/LAND,Beeches Playing Field Sappercombe Lane Cheltenham Gloucestershire,396847,220140,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012808054,09/00770/BLDG,Pavillion Beeches Playing Field Sappercombe Lane Cheltenham Gloucestershire,396748,220129,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012808224,09/00565/BLDG,Naunton Park Pavilion Asquith Road Cheltenham Gloucestershire GL53 7EL,395165,220571,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012808362,18/00030/SITE,J Sainsbury PLC Priors Road Cheltenham Gloucestershire GL52 5AQ,396717,222584,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,010012808457,09/00951/LAND,Land To The South Of Warden Hill Road Cheltenham Gloucestershire,392750,220666,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012808499,09/00953/LAND,Allotments Alma Road Cheltenham Gloucestershire,392846,221157,Freehold,Licence,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012808519,09/00919/LAND,Charlton Kings Cemetery Horsefair Street Charlton Kings Cheltenham Gloucestershire,396671,220190,Freehold,Occupied by local authority,Cemetery and Cremartoria
Cheltenham Borough Council,23UB,010012808551,14/00031/STRUC,War Memorial Church Road Leckhampton Cheltenham Gloucestershire,394601,219778,Freehold,Occupied by local authority,Civic Regalia
Cheltenham Borough Council,23UB,010012808552,10/00041/STRUC,Clock Tower Crescent Terrace Cheltenham Gloucestershire,394746,222385,Freehold,Occupied by local authority,Miscellaneous Operational
Cheltenham Borough Council,23UB,010012808572,17/00020/STRUC,Ornamental Pond And Sundial Sandford Park College Road Cheltenham Gloucestershire,395097,222071,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012808573,17/00021/STRUC,Brick Water Feature Sandford Park College Road Cheltenham Gloucestershire,395219,222065,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012808574,17/00012/STRUC,Unwins Fountain Sandford Park College Road Cheltenham Gloucestershire,395233,221965,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012808578,09/00002/BLDG,Public Conveniences Montpellier Gardens Montpellier Walk Cheltenham Gloucestershire,394458,221840,Freehold,Occupied by local authority,Public Conveinences
Cheltenham Borough Council,23UB,010012808646,09/00755/STRUC,Bandstand Pittville Park Evesham Road Cheltenham Gloucestershire,395446,223685,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012808647,09/00424/BLDG,The Boat House Pittville Park Evesham Road Cheltenham Gloucestershire,395256,223506,Freehold,Leasehold,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012808648,09/00759/BLDG,Public Convenience Pittville Park Evesham Road Cheltenham Gloucestershire,395374,223515,Freehold,Occupied by local authority,Public Conveinences
Cheltenham Borough Council,23UB,010012808657,09/00542/BLDG,Unit 1 Cheltenham Enterprise Centre Central Way Cheltenham Gloucestershire GL51 8JW,393743,223066,Freehold,Leasehold,Industrial
Cheltenham Borough Council,23UB,010012808658,09/00543/BLDG,Unit 2 Cheltenham Enterprise Centre Central Way Cheltenham Gloucestershire GL51 8JW,393743,223066,Freehold,Leasehold,Industrial
Cheltenham Borough Council,23UB,010012808659,09/00544/BLDG,Unit 3 Cheltenham Enterprise Centre Central Way Cheltenham Gloucestershire GL51 8JW,393743,223066,Freehold,Leasehold,Industrial
Cheltenham Borough Council,23UB,010012808660,09/00545/BLDG,Unit 4 Cheltenham Enterprise Centre Central Way Cheltenham Gloucestershire GL51 8JW,393743,223066,Freehold,Leasehold,Industrial
Cheltenham Borough Council,23UB,010012808680,09/00541/SITE,Cheltenham Enterprise Centre Central Way Cheltenham Gloucestershire,393743,223066,Freehold,Leasehold,Industrial
Cheltenham Borough Council,23UB,010012808922,09/00478/LAND,Playing Field Wymans Lane Cheltenham Gloucestershire,393769,224790,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809018,09/00864/BLDG,Pavillion King George V Playing Field Brooklyn Road Cheltenham Gloucestershire,392537,222659,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010012809018,09/04826/STRUC,Pavillion King George V Playing Field Brooklyn Road Cheltenham Gloucestershire,392537,222659,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010012809144,09/00773/LAND,Benhall Estate Public Open Space Whittington Road Cheltenham Gloucestershire,391808,221684,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809145,09/00804/LAND,Public Open Space On The West Side Of Grace Gardens Cheltenham Gloucestershire,391490,221483,Freehold,Occupied by local authority,Open Space Land and Allottments
